原文	词典候选译名
Daedric Armor	迪德拉护甲 (2)
Damage Health	生命减损 (11)
Leather Armor	革制护甲 (1)
Ebony Armor	黑檀护甲 (1)
Dawnguard	黎明守卫 (1)
Imperial	帝国 (25) | 帝国人 (4)
Recovery	加速恢复 (1)
Traveler	旅行者 (1)
Harvest	收获 (103)
Leather	皮革 (1)
Stamina	耐力 (1)
Animal	动物 (1)
Dragon	龙 (7)
Health	生命 (1)
Hunter	猎人 (5)
Poison	毒药 (10)
Switch	开关 (2)
Weapon	武器 (1)
Weight	重量 (1)
Armor	护甲 (1)
Black	Black (3)
black	black (1)
Brown	Brown (2)
Force	力量 (2)
Horse	马 (16)
Never	永不 (1)
Torch	火把 (4)
White	White (1)
Bard	吟游诗人 (2)
Fade	凋零 (1)
Fast	加速 (3) | 迅捷 (1)
Fool	愚蠢 (1)
Gold	金币 (1)
Grey	Grey (1)
Hide	隐藏术 (2)
Hunt	狩猎 (1)
Nord	诺德人 (6)
Push	推动 (4)
Soul	灵魂 (24)
Talk	交谈 (5)
Time	时间 (1)
Tome	典籍 (1)
Cow	奶牛 (6)
Gol	Gol (1)
Hun	Hun (1)
Mul	穆尔 (1) | Mul (1)
Pot	罐子 (13)
Run	奔跑 (1)
Use	使用 (15)
